,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
304,1999.0,NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,"Masashi Kishimoto, Katy Bridges",eng,Excellent,4.35,104633,nonfiction,172.854,0.99,325,HarperCollins Christian Publishing,291,288.09
305,2012.0,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,eng,Intermediate,3.89,94012,genre fiction,2216.76,12.74,326,Hachette Book Group,290,3694.6
306,2012.0,Every Day,David Levithan,eng,Intermediate,3.99,121863,genre fiction,689.472,3.99,327,"Amazon Digital Services,  Inc.",288,1149.12
310,2006.0,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,eng,Famous,4.45,134249,genre fiction,847.302,4.99,330,Simon and Schuster Digital Sales Inc,283,1412.17
311,2015.0,A Court of Thorns and Roses,Sarah J. Maas,eng,Excellent,4.29,167848,nonfiction,2190.114,12.99,331,"Amazon Digital Services,  Inc.",281,3650.19
312,2012.0,,E.L. James,es,Excellent,4.13,76876,genre fiction,0.0,4.99,333,"Amazon Digital Services,  Inc.",278,1387.22
314,2009.0,Smile,Raina Telgemeier,eng,Excellent,4.19,98628,genre fiction,1570.842,9.59,336,HarperCollins Publishers,273,2618.07
316,1996.0,The Deep End of the Ocean,Jacquelyn Mitchard,en-US,Intermediate,3.84,102733,genre fiction,0.0,0.99,338,"Amazon Digital Services,  Inc.",270,267.3
317,2001.0,The Bonesetter's Daughter,Amy Tan,en-US,Intermediate,3.98,99926,nonfiction,0.0,0.99,340,"Amazon Digital Services,  Inc.",266,263.34
318,1999.0,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,eng,Intermediate,3.74,112733,genre fiction,0.0,3.75,340,"Amazon Digital Services,  Inc.",266,997.5
319,2012.0,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,eng,Intermediate,3.75,110552,genre fiction,1031.91,6.49,341,Hachette Book Group,265,1719.85
321,2016.0,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",eng,Excellent,4.32,116771,genre fiction,0.0,3.99,343,"Amazon Digital Services,  Inc.",261,1041.39
323,1999.0,Invisible Monsters,Chuck Palahniuk,eng,Intermediate,4.0,54937,genre fiction,462.852,2.99,345,Simon and Schuster Digital Sales Inc,258,771.4200000000001
325,2000.0,Gathering Blue,Lois Lowry,eng,Intermediate,3.8,114917,genre fiction,0.0,3.99,350,"Amazon Digital Services,  Inc.",250,997.5
327,2014.0,Red Rising,Pierce Brown,eng,Excellent,4.26,104939,genre fiction,147.906,0.99,351,"Amazon Digital Services,  Inc.",249,246.51
328,2008.0,The Way of Shadows,Brent Weeks,en-US,Excellent,4.15,109236,genre fiction,446.706,2.99,351,Random House LLC,249,744.5100000000001
330,2013.0,Walking Disaster,Jamie McGuire,eng,Excellent,4.23,134022,genre fiction,0.0,12.99,353,"Amazon Digital Services,  Inc.",248,3221.52
331,2014.0,Words of Radiance,Brandon Sanderson,eng,Famous,4.77,73572,genre fiction,444.912,2.99,354,HarperCollins Publishers,248,741.5200000000001
333,2001.0,The Fiery Cross,Diana Gabaldon,eng,Excellent,4.26,103552,genre fiction,684.684,4.62,356,Penguin Group (USA) LLC,247,1141.14
336,2005.0,The History of Love,Nicole Krauss,eng,Intermediate,3.91,98379,genre fiction,0.0,3.99,359,"Amazon Digital Services,  Inc.",245,977.55
338,2006.0,L'Ã©lÃ©gance du hÃ©risson,"Muriel Barbery, Alison Anderson",eng,Intermediate,3.73,101669,genre fiction,1019.142,6.99,363,Hachette Book Group,243,1698.5700000000002
339,2005.0,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",eng,Excellent,4.3,102923,genre fiction,435.942,2.99,364,"Amazon Digital Services,  Inc.",243,726.57
340,2010.0,Dead in the Family,Charlaine Harris,en-US,Intermediate,3.88,127379,genre fiction,896.67,6.15,364,"Amazon Digital Services,  Inc.",243,1494.45
342,1999.0,The Reptile Room,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.95,130213,genre fiction,721.554,4.99,367,Simon and Schuster Digital Sales Inc,241,1202.59
343,2012.0,Brain on Fire,Susannah Cahalan,eng,Intermediate,4.0,92849,genre fiction,1539.99,10.65,368,Hachette Book Group,241,2566.65
344,2007.0,Wicked Lovely ,Melissa Marr,en-US,Intermediate,3.69,131034,genre fiction,718.56,4.99,370,Simon and Schuster Digital Sales Inc,240,1197.6
347,1998.0,A Beautiful Mind,Sylvia Nasar,en-GB,Excellent,4.12,98276,genre fiction,926.772,6.49,373,Random House LLC,238,1544.62
349,2008.0,The Summoning,Kelley Armstrong,en-US,Excellent,4.03,132285,genre fiction,0.0,1.99,376,"Amazon Digital Services,  Inc.",237,471.63
352,2000.0,The Blind Assassin,Margaret Atwood,eng,Intermediate,3.95,98464,nonfiction,1131.384,7.99,378,HarperCollins Christian Publishing,236,1885.64
353,2014.0,Hollow City,Ransom Riggs,eng,Excellent,4.07,73149,genre fiction,985.59,6.99,380,Penguin Group (USA) LLC,235,1642.65
354,1999.0,House of Sand and Fog,Andre Dubus III,eng,Intermediate,3.83,55381,genre fiction,560.196,3.99,381,"Amazon Digital Services,  Inc.",234,933.66
355,2014.0,The Girl with All the Gifts,M.R. Carey,eng,Intermediate,3.93,99729,genre fiction,278.202,1.99,383,Simon and Schuster Digital Sales Inc,233,463.67
358,2006.0,"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,eng,Excellent,4.35,137558,nonfiction,1476.09,10.65,387,Random House LLC,6237,66424.05
360,2001.0,Fool Moon ,Jim Butcher,eng,Excellent,4.04,111371,genre fiction,412.62,2.99,389,Macmillan,6210,18567.9
361,2011.0,David and Goliath,Malcolm Gladwell,eng,Intermediate,3.9,90083,nonfiction,1505.58,10.91,389,Random House LLC,6210,67751.1
362,2002.0,é‹¼ã®éŒ¬é‡‘è¡“å¸« 1,"Hiromu Arakawa, Akira Watanabe",eng,Famous,4.49,93990,genre fiction,0.0,0.99,391,"Amazon Digital Services,  Inc.",6183,6121.17
364,2005.0,The Year of Magical Thinking,Joan Didion,eng,Intermediate,3.86,94590,genre fiction,0.0,3.99,393,"Amazon Digital Services,  Inc.",6156,24562.44
365,2003.0,We Need to Talk About Kevin,Lionel Shriver,eng,Excellent,4.07,101343,genre fiction,3541.752,25.89,393,HarperCollins Publishers,6156,159378.84
370,2001.0,Year of Wonders: A Novel of the Plague,Geraldine Brooks,eng,Intermediate,4.0,104283,genre fiction,0.0,0.99,401,"Amazon Digital Services,  Inc.",6048,5987.52
373,2011.0,Gabriel's Inferno,Sylvain Reynard,eng,Excellent,4.02,119633,genre fiction,1069.062,7.99,404,Penguin Group (USA) LLC,6021,48107.79
