,character,rating
4153,Anakin Skywalker,Very favorably
4154,Anakin Skywalker,Somewhat favorably
4156,Anakin Skywalker,Very favorably
4158,Anakin Skywalker,Very favorably
4159,Anakin Skywalker,Somewhat favorably
4160,Anakin Skywalker,Very favorably
4161,Anakin Skywalker,Very favorably
4162,Anakin Skywalker,Very favorably
4164,Anakin Skywalker,Very favorably
4165,Anakin Skywalker,Somewhat favorably
4166,Anakin Skywalker,Somewhat favorably
4167,Anakin Skywalker,Somewhat favorably
4168,Anakin Skywalker,Somewhat favorably
4178,Anakin Skywalker,Somewhat favorably
4179,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4180,Anakin Skywalker,Somewhat favorably
4181,Anakin Skywalker,Very favorably
4183,Anakin Skywalker,Somewhat favorably
4184,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4185,Anakin Skywalker,Very favorably
4188,Anakin Skywalker,Somewhat favorably
4189,Anakin Skywalker,Somewhat favorably
4190,Anakin Skywalker,Very favorably
4192,Anakin Skywalker,Very favorably
4193,Anakin Skywalker,Somewhat unfavorably
4194,Anakin Skywalker,Unfamiliar (N/A)
4195,Anakin Skywalker,Very favorably
4196,Anakin Skywalker,Unfamiliar (N/A)
4197,Anakin Skywalker,Somewhat favorably
4198,Anakin Skywalker,Somewhat favorably
4199,Anakin Skywalker,Very favorably
4200,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4201,Anakin Skywalker,Unfamiliar (N/A)
4203,Anakin Skywalker,Very favorably
4207,Anakin Skywalker,Very favorably
4208,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4210,Anakin Skywalker,Very unfavorably
4211,Anakin Skywalker,Somewhat favorably
4212,Anakin Skywalker,Very favorably
4213,Anakin Skywalker,Somewhat favorably
4214,Anakin Skywalker,Somewhat favorably
4215,Anakin Skywalker,Very favorably
4216,Anakin Skywalker,Very favorably
4217,Anakin Skywalker,Very favorably
4220,Anakin Skywalker,Very favorably
4222,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4223,Anakin Skywalker,Very favorably
4224,Anakin Skywalker,Somewhat favorably
4225,Anakin Skywalker,Somewhat favorably
4228,Anakin Skywalker,Somewhat favorably
4229,Anakin Skywalker,Very favorably
4231,Anakin Skywalker,Very favorably
4233,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4234,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4235,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4236,Anakin Skywalker,Very favorably
4237,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4238,Anakin Skywalker,Somewhat favorably
4239,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4241,Anakin Skywalker,Unfamiliar (N/A)
4242,Anakin Skywalker,Very favorably
4243,Anakin Skywalker,Very favorably
4244,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4245,Anakin Skywalker,Somewhat favorably
4247,Anakin Skywalker,Unfamiliar (N/A)
4248,Anakin Skywalker,Very favorably
4249,Anakin Skywalker,Somewhat favorably
4250,Anakin Skywalker,Unfamiliar (N/A)
4251,Anakin Skywalker,Very favorably
4252,Anakin Skywalker,Very favorably
4253,Anakin Skywalker,Very favorably
4254,Anakin Skywalker,Somewhat unfavorably
4256,Anakin Skywalker,Very favorably
4258,Anakin Skywalker,Somewhat favorably
4259,Anakin Skywalker,Somewhat favorably
4260,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4261,Anakin Skywalker,Very unfavorably
4262,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4263,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4264,Anakin Skywalker,Somewhat favorably
4269,Anakin Skywalker,Somewhat unfavorably
4270,Anakin Skywalker,Somewhat favorably
4271,Anakin Skywalker,Very unfavorably
4272,Anakin Skywalker,Very favorably
4273,Anakin Skywalker,Somewhat favorably
4274,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4275,Anakin Skywalker,Somewhat favorably
4276,Anakin Skywalker,Somewhat favorably
4277,Anakin Skywalker,Somewhat favorably
4279,Anakin Skywalker,Somewhat favorably
4280,Anakin Skywalker,Unfamiliar (N/A)
4282,Anakin Skywalker,Somewhat favorably
4283,Anakin Skywalker,Very unfavorably
4284,Anakin Skywalker,Somewhat favorably
4286,Anakin Skywalker,Very favorably
4287,Anakin Skywalker,Somewhat favorably
4289,Anakin Skywalker,Very favorably
4290,Anakin Skywalker,Somewhat favorably
4291,Anakin Skywalker,Very favorably
4293,Anakin Skywalker,Very favorably
4297,Anakin Skywalker,Somewhat favorably
4298,Anakin Skywalker,Somewhat favorably
4299,Anakin Skywalker,Very favorably
4300,Anakin Skywalker,Somewhat unfavorably
4301,Anakin Skywalker,Very favorably
4302,Anakin Skywalker,Very favorably
4303,Anakin Skywalker,Somewhat favorably
4308,Anakin Skywalker,Very favorably
4309,Anakin Skywalker,Somewhat favorably
4310,Anakin Skywalker,Very favorably
4311,Anakin Skywalker,Unfamiliar (N/A)
4312,Anakin Skywalker,Somewhat favorably
4313,Anakin Skywalker,Very favorably
4314,Anakin Skywalker,Unfamiliar (N/A)
4315,Anakin Skywalker,Somewhat unfavorably
4319,Anakin Skywalker,Somewhat favorably
4320,Anakin Skywalker,Very favorably
4321,Anakin Skywalker,Somewhat unfavorably
4324,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4325,Anakin Skywalker,Very favorably
4326,Anakin Skywalker,Very favorably
4328,Anakin Skywalker,Somewhat favorably
4329,Anakin Skywalker,Somewhat favorably
4331,Anakin Skywalker,Somewhat favorably
4332,Anakin Skywalker,Somewhat unfavorably
4333,Anakin Skywalker,Unfamiliar (N/A)
4334,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4335,Anakin Skywalker,Very favorably
4336,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4337,Anakin Skywalker,Very favorably
4338,Anakin Skywalker,Somewhat favorably
4339,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4341,Anakin Skywalker,Very favorably
4343,Anakin Skywalker,Very favorably
4345,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4346,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4347,Anakin Skywalker,Very favorably
4348,Anakin Skywalker,Very unfavorably
4349,Anakin Skywalker,Very favorably
4351,Anakin Skywalker,Very unfavorably
4352,Anakin Skywalker,Very favorably
4355,Anakin Skywalker,Somewhat favorably
4356,Anakin Skywalker,Very favorably
4357,Anakin Skywalker,Somewhat favorably
4358,Anakin Skywalker,Somewhat favorably
4360,Anakin Skywalker,Very favorably
4361,Anakin Skywalker,Somewhat favorably
4363,Anakin Skywalker,Somewhat favorably
4368,Anakin Skywalker,Very favorably
4369,Anakin Skywalker,Somewhat unfavorably
4371,Anakin Skywalker,Somewhat favorably
4372,Anakin Skywalker,Very favorably
4373,Anakin Skywalker,Unfamiliar (N/A)
4377,Anakin Skywalker,Somewhat favorably
4378,Anakin Skywalker,Very favorably
4379,Anakin Skywalker,Somewhat favorably
4385,Anakin Skywalker,Somewhat favorably
4386,Anakin Skywalker,Somewhat favorably
4387,Anakin Skywalker,Somewhat favorably
4389,Anakin Skywalker,Somewhat favorably
4390,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4391,Anakin Skywalker,Somewhat unfavorably
4392,Anakin Skywalker,Somewhat favorably
4393,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4394,Anakin Skywalker,Somewhat favorably
4395,Anakin Skywalker,Very favorably
4397,Anakin Skywalker,Very favorably
4398,Anakin Skywalker,Somewhat favorably
4401,Anakin Skywalker,Somewhat favorably
4404,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4405,Anakin Skywalker,Somewhat favorably
4406,Anakin Skywalker,Very favorably
4407,Anakin Skywalker,Somewhat favorably
4408,Anakin Skywalker,Somewhat unfavorably
4409,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4410,Anakin Skywalker,Somewhat favorably
4411,Anakin Skywalker,Somewhat favorably
4412,Anakin Skywalker,Very favorably
4413,Anakin Skywalker,Somewhat unfavorably
4414,Anakin Skywalker,Very favorably
4416,Anakin Skywalker,Somewhat unfavorably
4417,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4419,Anakin Skywalker,Unfamiliar (N/A)
4420,Anakin Skywalker,Somewhat unfavorably
4421,Anakin Skywalker,Unfamiliar (N/A)
4423,Anakin Skywalker,Unfamiliar (N/A)
4425,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4426,Anakin Skywalker,Very favorably
4427,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4428,Anakin Skywalker,Somewhat favorably
4429,Anakin Skywalker,Somewhat favorably
4432,Anakin Skywalker,Very favorably
4433,Anakin Skywalker,Very favorably
4435,Anakin Skywalker,Somewhat favorably
4437,Anakin Skywalker,Unfamiliar (N/A)
4438,Anakin Skywalker,Very favorably
4440,Anakin Skywalker,Very favorably
4441,Anakin Skywalker,Very favorably
4443,Anakin Skywalker,Very favorably
4445,Anakin Skywalker,Somewhat favorably
4446,Anakin Skywalker,Very favorably
4447,Anakin Skywalker,Somewhat unfavorably
4448,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4449,Anakin Skywalker,Very unfavorably
4450,Anakin Skywalker,Very favorably
4451,Anakin Skywalker,Somewhat favorably
4453,Anakin Skywalker,Somewhat unfavorably
4454,Anakin Skywalker,Somewhat unfavorably
4455,Anakin Skywalker,Very favorably
4456,Anakin Skywalker,Very favorably
4459,Anakin Skywalker,Very unfavorably
4461,Anakin Skywalker,Very unfavorably
4462,Anakin Skywalker,Very favorably
4463,Anakin Skywalker,Very favorably
4464,Anakin Skywalker,Somewhat favorably
4465,Anakin Skywalker,Unfamiliar (N/A)
4466,Anakin Skywalker,Somewhat favorably
4467,Anakin Skywalker,Unfamiliar (N/A)
4468,Anakin Skywalker,Somewhat unfavorably
4469,Anakin Skywalker,Unfamiliar (N/A)
4470,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4472,Anakin Skywalker,Very favorably
4473,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4474,Anakin Skywalker,Somewhat unfavorably
4475,Anakin Skywalker,Somewhat favorably
4476,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4477,Anakin Skywalker,Very favorably
4478,Anakin Skywalker,Very favorably
4482,Anakin Skywalker,Somewhat favorably
4483,Anakin Skywalker,Unfamiliar (N/A)
4484,Anakin Skywalker,Somewhat unfavorably
4486,Anakin Skywalker,Somewhat favorably
4493,Anakin Skywalker,Very favorably
4495,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4496,Anakin Skywalker,Somewhat favorably
4498,Anakin Skywalker,Very favorably
4499,Anakin Skywalker,Somewhat favorably
4502,Anakin Skywalker,Somewhat unfavorably
4504,Anakin Skywalker,Somewhat unfavorably
4505,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4506,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4507,Anakin Skywalker,Somewhat favorably
4508,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4509,Anakin Skywalker,Very unfavorably
4510,Anakin Skywalker,Somewhat favorably
4511,Anakin Skywalker,Somewhat favorably
4512,Anakin Skywalker,Very favorably
4514,Anakin Skywalker,Somewhat unfavorably
4515,Anakin Skywalker,Unfamiliar (N/A)
4518,Anakin Skywalker,Very favorably
4519,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4520,Anakin Skywalker,Somewhat unfavorably
4521,Anakin Skywalker,Somewhat unfavorably
4522,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4523,Anakin Skywalker,Very favorably
4524,Anakin Skywalker,Very favorably
4525,Anakin Skywalker,Somewhat favorably
4526,Anakin Skywalker,Somewhat favorably
4528,Anakin Skywalker,Very favorably
4529,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4530,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4531,Anakin Skywalker,Somewhat favorably
4532,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4533,Anakin Skywalker,Somewhat favorably
4534,Anakin Skywalker,Somewhat unfavorably
4535,Anakin Skywalker,Somewhat favorably
4536,Anakin Skywalker,Somewhat favorably
4537,Anakin Skywalker,Somewhat unfavorably
4538,Anakin Skywalker,Somewhat favorably
4541,Anakin Skywalker,Somewhat favorably
4542,Anakin Skywalker,Very favorably
4545,Anakin Skywalker,Somewhat favorably
4547,Anakin Skywalker,Somewhat unfavorably
4548,Anakin Skywalker,Very favorably
4550,Anakin Skywalker,Very favorably
4552,Anakin Skywalker,Very favorably
4553,Anakin Skywalker,Very favorably
4554,Anakin Skywalker,Very favorably
4555,Anakin Skywalker,Very favorably
4556,Anakin Skywalker,Somewhat favorably
4558,Anakin Skywalker,Somewhat favorably
4559,Anakin Skywalker,Somewhat unfavorably
4560,Anakin Skywalker,Somewhat favorably
4561,Anakin Skywalker,Very favorably
4563,Anakin Skywalker,Somewhat favorably
4568,Anakin Skywalker,Very favorably
4569,Anakin Skywalker,Very favorably
4570,Anakin Skywalker,Somewhat favorably
4574,Anakin Skywalker,Somewhat unfavorably
4575,Anakin Skywalker,Somewhat unfavorably
4577,Anakin Skywalker,Very favorably
4578,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4579,Anakin Skywalker,Somewhat favorably
4580,Anakin Skywalker,Very favorably
4584,Anakin Skywalker,Very favorably
4586,Anakin Skywalker,Somewhat favorably
4588,Anakin Skywalker,Somewhat favorably
4590,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4591,Anakin Skywalker,Very favorably
4593,Anakin Skywalker,Very favorably
4594,Anakin Skywalker,Somewhat favorably
4595,Anakin Skywalker,Unfamiliar (N/A)
4597,Anakin Skywalker,Somewhat favorably
4598,Anakin Skywalker,Somewhat unfavorably
4599,Anakin Skywalker,Somewhat unfavorably
4600,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4602,Anakin Skywalker,Somewhat favorably
4604,Anakin Skywalker,Somewhat favorably
4605,Anakin Skywalker,Very favorably
4606,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4608,Anakin Skywalker,Somewhat favorably
4609,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4613,Anakin Skywalker,Very favorably
4614,Anakin Skywalker,Very favorably
4615,Anakin Skywalker,Very favorably
4616,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4617,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4625,Anakin Skywalker,Very favorably
4626,Anakin Skywalker,Somewhat favorably
4627,Anakin Skywalker,Somewhat unfavorably
4628,Anakin Skywalker,Somewhat favorably
4629,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4630,Anakin Skywalker,Very favorably
4631,Anakin Skywalker,Very favorably
4634,Anakin Skywalker,Unfamiliar (N/A)
4636,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4637,Anakin Skywalker,Somewhat favorably
4639,Anakin Skywalker,Very favorably
4641,Anakin Skywalker,Somewhat favorably
4644,Anakin Skywalker,Very favorably
4645,Anakin Skywalker,Very unfavorably
4646,Anakin Skywalker,Unfamiliar (N/A)
4648,Anakin Skywalker,Somewhat favorably
4649,Anakin Skywalker,Somewhat favorably
4650,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4654,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4655,Anakin Skywalker,Somewhat unfavorably
4656,Anakin Skywalker,Somewhat favorably
4657,Anakin Skywalker,Very unfavorably
4658,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4659,Anakin Skywalker,Somewhat favorably
4660,Anakin Skywalker,Somewhat favorably
4661,Anakin Skywalker,Very favorably
4662,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4664,Anakin Skywalker,Somewhat favorably
4665,Anakin Skywalker,Somewhat unfavorably
4668,Anakin Skywalker,Unfamiliar (N/A)
4669,Anakin Skywalker,Very favorably
4670,Anakin Skywalker,Somewhat unfavorably
4671,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4672,Anakin Skywalker,Somewhat unfavorably
4675,Anakin Skywalker,Unfamiliar (N/A)
4676,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4677,Anakin Skywalker,Very favorably
4679,Anakin Skywalker,Somewhat favorably
4681,Anakin Skywalker,Somewhat favorably
4683,Anakin Skywalker,Very favorably
4684,Anakin Skywalker,Somewhat favorably
4685,Anakin Skywalker,Very favorably
4686,Anakin Skywalker,Somewhat unfavorably
4687,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4688,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4689,Anakin Skywalker,Somewhat favorably
4691,Anakin Skywalker,Somewhat favorably
4692,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4696,Anakin Skywalker,Very favorably
4698,Anakin Skywalker,Somewhat unfavorably
4700,Anakin Skywalker,Very favorably
4702,Anakin Skywalker,Very favorably
4703,Anakin Skywalker,Somewhat favorably
4704,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4705,Anakin Skywalker,Very favorably
4706,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4707,Anakin Skywalker,Very favorably
4710,Anakin Skywalker,Somewhat favorably
4712,Anakin Skywalker,Very favorably
4713,Anakin Skywalker,Somewhat favorably
4714,Anakin Skywalker,Very favorably
4716,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4718,Anakin Skywalker,Somewhat favorably
4719,Anakin Skywalker,Somewhat favorably
4720,Anakin Skywalker,Very unfavorably
4721,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4722,Anakin Skywalker,Somewhat favorably
4723,Anakin Skywalker,Very favorably
4724,Anakin Skywalker,Very favorably
4725,Anakin Skywalker,Very favorably
4727,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4729,Anakin Skywalker,Somewhat favorably
4730,Anakin Skywalker,Very favorably
4731,Anakin Skywalker,Very favorably
4732,Anakin Skywalker,Very favorably
4733,Anakin Skywalker,Very favorably
4734,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4735,Anakin Skywalker,Very favorably
4737,Anakin Skywalker,Neither favorably nor unfavorably (neutral)
4738,Anakin Skywalker,Somewhat favorably
4739,Anakin Skywalker,Somewhat favorably
4740,Anakin Skywalker,Somewhat unfavorably
4742,Anakin Skywalker,Very favorably
4743,Anakin Skywalker,Very unfavorably
4744,Obi Wan Kenobi,Very favorably
4746,Obi Wan Kenobi,Somewhat favorably
4747,Obi Wan Kenobi,Very favorably
4748,Obi Wan Kenobi,Very favorably
4749,Obi Wan Kenobi,Very favorably
4750,Obi Wan Kenobi,Very favorably
4751,Obi Wan Kenobi,Very favorably
4752,Obi Wan Kenobi,Somewhat favorably
4753,Obi Wan Kenobi,Very favorably
4756,Obi Wan Kenobi,Somewhat favorably
4757,Obi Wan Kenobi,Very favorably
4758,Obi Wan Kenobi,Very favorably
4759,Obi Wan Kenobi,Very favorably
4760,Obi Wan Kenobi,Very unfavorably
4761,Obi Wan Kenobi,Very favorably
4762,Obi Wan Kenobi,Very favorably
4763,Obi Wan Kenobi,Somewhat favorably
4764,Obi Wan Kenobi,Very favorably
4765,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4766,Obi Wan Kenobi,Very favorably
4767,Obi Wan Kenobi,Somewhat favorably
4768,Obi Wan Kenobi,Very favorably
4770,Obi Wan Kenobi,Very favorably
4771,Obi Wan Kenobi,Very favorably
4772,Obi Wan Kenobi,Very unfavorably
4773,Obi Wan Kenobi,Very favorably
4774,Obi Wan Kenobi,Somewhat favorably
4775,Obi Wan Kenobi,Very favorably
4776,Obi Wan Kenobi,Somewhat unfavorably
4779,Obi Wan Kenobi,Very favorably
4780,Obi Wan Kenobi,Somewhat favorably
4781,Obi Wan Kenobi,Very favorably
4782,Obi Wan Kenobi,Somewhat favorably
4783,Obi Wan Kenobi,Very favorably
4784,Obi Wan Kenobi,Very favorably
4785,Obi Wan Kenobi,Very favorably
4786,Obi Wan Kenobi,Very favorably
4787,Obi Wan Kenobi,Very favorably
4788,Obi Wan Kenobi,Somewhat favorably
4789,Obi Wan Kenobi,Very favorably
4791,Obi Wan Kenobi,Very favorably
4792,Obi Wan Kenobi,Somewhat favorably
4794,Obi Wan Kenobi,Very favorably
4795,Obi Wan Kenobi,Very favorably
4796,Obi Wan Kenobi,Very favorably
4797,Obi Wan Kenobi,Somewhat favorably
4798,Obi Wan Kenobi,Very favorably
4800,Obi Wan Kenobi,Very favorably
4801,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4802,Obi Wan Kenobi,Very favorably
4803,Obi Wan Kenobi,Very favorably
4804,Obi Wan Kenobi,Somewhat favorably
4805,Obi Wan Kenobi,Somewhat unfavorably
4806,Obi Wan Kenobi,Very favorably
4807,Obi Wan Kenobi,Very favorably
4808,Obi Wan Kenobi,Very favorably
4809,Obi Wan Kenobi,Somewhat favorably
4810,Obi Wan Kenobi,Very favorably
4811,Obi Wan Kenobi,Very favorably
4812,Obi Wan Kenobi,Very favorably
4814,Obi Wan Kenobi,Very favorably
4815,Obi Wan Kenobi,Somewhat favorably
4816,Obi Wan Kenobi,Very favorably
4817,Obi Wan Kenobi,Very favorably
4818,Obi Wan Kenobi,Somewhat favorably
4819,Obi Wan Kenobi,Very favorably
4820,Obi Wan Kenobi,Somewhat favorably
4821,Obi Wan Kenobi,Somewhat favorably
4822,Obi Wan Kenobi,Very favorably
4823,Obi Wan Kenobi,Very favorably
4825,Obi Wan Kenobi,Somewhat favorably
4826,Obi Wan Kenobi,Very favorably
4827,Obi Wan Kenobi,Very favorably
4829,Obi Wan Kenobi,Very favorably
4832,Obi Wan Kenobi,Somewhat favorably
4834,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4835,Obi Wan Kenobi,Very favorably
4837,Obi Wan Kenobi,Very favorably
4838,Obi Wan Kenobi,Very favorably
4839,Obi Wan Kenobi,Very favorably
4841,Obi Wan Kenobi,Very favorably
4842,Obi Wan Kenobi,Very favorably
4843,Obi Wan Kenobi,Unfamiliar (N/A)
4844,Obi Wan Kenobi,Very favorably
4845,Obi Wan Kenobi,Very favorably
4846,Obi Wan Kenobi,Somewhat favorably
4850,Obi Wan Kenobi,Somewhat favorably
4851,Obi Wan Kenobi,Somewhat favorably
4852,Obi Wan Kenobi,Very favorably
4853,Obi Wan Kenobi,Somewhat favorably
4854,Obi Wan Kenobi,Somewhat favorably
4855,Obi Wan Kenobi,Very favorably
4856,Obi Wan Kenobi,Very favorably
4857,Obi Wan Kenobi,Very favorably
4858,Obi Wan Kenobi,Somewhat favorably
4860,Obi Wan Kenobi,Somewhat favorably
4861,Obi Wan Kenobi,Somewhat favorably
4864,Obi Wan Kenobi,Very favorably
4866,Obi Wan Kenobi,Very favorably
4867,Obi Wan Kenobi,Very favorably
4869,Obi Wan Kenobi,Very favorably
4875,Obi Wan Kenobi,Very favorably
4876,Obi Wan Kenobi,Very favorably
4877,Obi Wan Kenobi,Very favorably
4879,Obi Wan Kenobi,Very favorably
4883,Obi Wan Kenobi,Very favorably
4884,Obi Wan Kenobi,Very favorably
4885,Obi Wan Kenobi,Very favorably
4886,Obi Wan Kenobi,Very unfavorably
4887,Obi Wan Kenobi,Very favorably
4888,Obi Wan Kenobi,Very favorably
4890,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4891,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4892,Obi Wan Kenobi,Somewhat favorably
4893,Obi Wan Kenobi,Somewhat favorably
4895,Obi Wan Kenobi,Very favorably
4896,Obi Wan Kenobi,Very favorably
4897,Obi Wan Kenobi,Somewhat favorably
4898,Obi Wan Kenobi,Somewhat favorably
4899,Obi Wan Kenobi,Very favorably
4900,Obi Wan Kenobi,Somewhat favorably
4902,Obi Wan Kenobi,Very favorably
4903,Obi Wan Kenobi,Somewhat favorably
4904,Obi Wan Kenobi,Somewhat favorably
4905,Obi Wan Kenobi,Very favorably
4906,Obi Wan Kenobi,Very favorably
4907,Obi Wan Kenobi,Very favorably
4908,Obi Wan Kenobi,Very favorably
4909,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4910,Obi Wan Kenobi,Somewhat favorably
4911,Obi Wan Kenobi,Very favorably
4912,Obi Wan Kenobi,Somewhat favorably
4913,Obi Wan Kenobi,Somewhat favorably
4914,Obi Wan Kenobi,Very favorably
4916,Obi Wan Kenobi,Very favorably
4917,Obi Wan Kenobi,Somewhat favorably
4918,Obi Wan Kenobi,Very favorably
4919,Obi Wan Kenobi,Very favorably
4920,Obi Wan Kenobi,Somewhat favorably
4921,Obi Wan Kenobi,Very favorably
4922,Obi Wan Kenobi,Somewhat favorably
4923,Obi Wan Kenobi,Very favorably
4925,Obi Wan Kenobi,Somewhat favorably
4927,Obi Wan Kenobi,Very favorably
4929,Obi Wan Kenobi,Somewhat favorably
4931,Obi Wan Kenobi,Very favorably
4932,Obi Wan Kenobi,Very favorably
4935,Obi Wan Kenobi,Very favorably
4938,Obi Wan Kenobi,Very favorably
4940,Obi Wan Kenobi,Very favorably
4942,Obi Wan Kenobi,Very favorably
4944,Obi Wan Kenobi,Very favorably
4946,Obi Wan Kenobi,Very favorably
4947,Obi Wan Kenobi,Very favorably
4948,Obi Wan Kenobi,Somewhat favorably
4950,Obi Wan Kenobi,Very favorably
4951,Obi Wan Kenobi,Very favorably
4955,Obi Wan Kenobi,Very favorably
4956,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4959,Obi Wan Kenobi,Very favorably
4960,Obi Wan Kenobi,Very favorably
4961,Obi Wan Kenobi,Very favorably
4964,Obi Wan Kenobi,Very favorably
4967,Obi Wan Kenobi,Very favorably
4968,Obi Wan Kenobi,Very favorably
4969,Obi Wan Kenobi,Somewhat favorably
4971,Obi Wan Kenobi,Very favorably
4972,Obi Wan Kenobi,Very favorably
4973,Obi Wan Kenobi,Very favorably
4975,Obi Wan Kenobi,Very favorably
4976,Obi Wan Kenobi,Somewhat favorably
4979,Obi Wan Kenobi,Very favorably
4980,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4981,Obi Wan Kenobi,Very favorably
4982,Obi Wan Kenobi,Very favorably
4983,Obi Wan Kenobi,Somewhat favorably
4984,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
4985,Obi Wan Kenobi,Very favorably
4986,Obi Wan Kenobi,Very favorably
4988,Obi Wan Kenobi,Somewhat favorably
4989,Obi Wan Kenobi,Very favorably
4990,Obi Wan Kenobi,Very favorably
4991,Obi Wan Kenobi,Somewhat favorably
4992,Obi Wan Kenobi,Somewhat favorably
4993,Obi Wan Kenobi,Very favorably
4994,Obi Wan Kenobi,Very favorably
4997,Obi Wan Kenobi,Very favorably
4999,Obi Wan Kenobi,Very favorably
5000,Obi Wan Kenobi,Very favorably
5001,Obi Wan Kenobi,Very favorably
5002,Obi Wan Kenobi,Very favorably
5003,Obi Wan Kenobi,Very favorably
5004,Obi Wan Kenobi,Very favorably
5005,Obi Wan Kenobi,Very favorably
5007,Obi Wan Kenobi,Very favorably
5008,Obi Wan Kenobi,Very favorably
5010,Obi Wan Kenobi,Very favorably
5011,Obi Wan Kenobi,Very favorably
5013,Obi Wan Kenobi,Unfamiliar (N/A)
5014,Obi Wan Kenobi,Very favorably
5015,Obi Wan Kenobi,Very favorably
5017,Obi Wan Kenobi,Very favorably
5018,Obi Wan Kenobi,Very favorably
5019,Obi Wan Kenobi,Somewhat favorably
5020,Obi Wan Kenobi,Neither favorably nor unfavorably (neutral)
5023,Obi Wan Kenobi,Very favorably
5024,Obi Wan Kenobi,Very favorably
5025,Obi Wan Kenobi,Very favorably
5026,Obi Wan Kenobi,Very favorably
5027,Obi Wan Kenobi,Very favorably
