,shooter
1145,I don't understand this question
1146,I don't understand this question
1147,I don't understand this question
1148,Han
1149,Greedo
1152,Han
1154,Greedo
1155,I don't understand this question
1156,I don't understand this question
1158,I don't understand this question
1160,I don't understand this question
1161,Greedo
1162,I don't understand this question
1163,Han
1164,Han
1165,Greedo
1166,I don't understand this question
1167,Greedo
1169,Han
1171,Han
1172,Greedo
1173,Han
1174,I don't understand this question
1175,Han
1176,I don't understand this question
1177,I don't understand this question
1179,Han
1180,Han
1181,Han
1182,I don't understand this question
1184,Han
1185,I don't understand this question
