,Age,Gender,Do you consider yourself to be a fan of the Star Wars film franchise?,movies_seen
657,30-44,Female,Yes,6
658,> 60,Female,No,6
659,30-44,Female,No,2
662,> 60,Female,No,6
664,> 60,Female,No,1
665,> 60,Male,No,2
671,> 60,Female,Yes,3
673,> 60,Male,Yes,6
675,45-60,Male,Yes,6
676,30-44,Male,Yes,6
677,> 60,Female,No,5
679,30-44,Male,Yes,3
680,> 60,Male,No,3
681,45-60,Female,No,4
683,> 60,Female,No,1
685,45-60,Female,Yes,2
686,45-60,Female,Yes,6
687,18-29,Female,Yes,6
689,45-60,Male,No,2
691,45-60,Female,Yes,6
692,> 60,Male,No,1
694,45-60,Male,Yes,6
695,> 60,Female,No,3
696,18-29,Female,No,3
698,30-44,Female,Yes,6
700,30-44,Male,Yes,6
701,30-44,Female,No,1
702,45-60,Male,Yes,6
703,30-44,Female,No,6
704,> 60,Male,Yes,6
705,30-44,Female,Yes,6
706,18-29,Female,Yes,6
711,30-44,Female,Yes,6
712,> 60,Male,No,4
713,30-44,Female,Yes,6
714,45-60,Male,Yes,6
715,30-44,Male,Yes,6
716,45-60,Female,Yes,3
717,45-60,Male,No,2
718,> 60,Male,Yes,6
719,> 60,Male,Yes,4
721,45-60,Female,No,3
722,45-60,Male,Yes,3
724,> 60,Male,Yes,3
725,30-44,Female,Yes,4
728,18-29,Female,Yes,6
731,18-29,Male,Yes,6
732,> 60,Male,Yes,3
735,> 60,Male,Yes,6
739,30-44,Female,Yes,6
741,> 60,Female,Yes,6
742,30-44,Male,Yes,6
743,> 60,Female,Yes,3
745,30-44,Male,Yes,6
750,30-44,Female,Yes,4
751,45-60,Male,Yes,6
752,45-60,Female,Yes,6
753,30-44,Female,No,3
754,30-44,Female,Yes,1
755,30-44,Female,Yes,4
756,> 60,Female,No,3
761,45-60,Male,Yes,6
762,> 60,Male,Yes,6
763,> 60,Male,Yes,3
766,30-44,Male,Yes,6
768,45-60,Male,Yes,6
770,30-44,Female,No,6
773,> 60,Male,Yes,6
774,30-44,Female,Yes,6
776,> 60,Female,Yes,6
778,> 60,Male,Yes,4
779,> 60,Female,Yes,6
780,> 60,Male,Yes,5
781,> 60,Male,No,6
783,30-44,Male,Yes,6
785,18-29,Female,Yes,6
787,45-60,Male,Yes,6
788,18-29,Male,Yes,6
789,45-60,Male,Yes,6
790,> 60,Male,Yes,6
791,45-60,Male,Yes,3
793,30-44,Female,No,6
794,> 60,Male,Yes,6
797,30-44,Male,Yes,6
798,45-60,Male,Yes,6
800,45-60,Male,No,6
803,> 60,Male,Yes,4
805,45-60,Female,Yes,6
809,> 60,Male,No,1
810,> 60,Male,Yes,4
811,30-44,Female,No,6
813,> 60,Male,Yes,6
814,> 60,Male,Yes,6
819,45-60,Female,Yes,6
820,45-60,Female,Yes,5
827,45-60,Female,No,2
828,30-44,Female,No,5
829,45-60,Female,No,2
831,30-44,Male,Yes,6
833,30-44,Male,Yes,6
834,> 60,Female,No,2
835,45-60,Female,Yes,6
836,45-60,Female,Yes,6
837,> 60,Male,No,6
840,30-44,Female,Yes,6
846,30-44,Male,Yes,4
847,30-44,Female,Yes,6
848,30-44,Female,No,3
849,45-60,Female,Yes,4
850,18-29,Male,Yes,6
851,30-44,Female,Yes,6
852,30-44,Female,Yes,3
853,> 60,Male,Yes,6
854,30-44,Female,No,1
855,45-60,Female,Yes,6
856,45-60,Female,Yes,6
858,30-44,Male,Yes,6
859,45-60,Male,No,1
861,> 60,Male,No,3
862,30-44,Female,No,4
863,45-60,Male,No,3
865,18-29,Female,No,3
867,> 60,Female,No,4
868,18-29,Female,No,2
869,45-60,Male,Yes,5
870,45-60,Female,Yes,6
874,45-60,Female,No,2
875,45-60,Female,Yes,6
877,30-44,Female,Yes,6
880,18-29,Female,Yes,6
882,45-60,Male,Yes,6
883,45-60,Female,Yes,3
885,45-60,Male,Yes,6
887,18-29,Female,Yes,6
889,> 60,Female,No,1
890,> 60,Female,No,4
892,> 60,Male,Yes,6
893,45-60,Female,Yes,6
896,45-60,Male,Yes,6
898,45-60,Female,Yes,6
901,45-60,Male,Yes,4
903,45-60,Male,Yes,6
904,45-60,Female,No,2
906,18-29,Male,Yes,6
907,45-60,Male,No,1
908,18-29,Female,Yes,1
909,> 60,Male,No,2
910,30-44,Female,Yes,6
911,> 60,Female,No,2
914,45-60,Female,Yes,6
915,30-44,Female,Yes,3
916,18-29,Male,Yes,6
917,45-60,Female,No,1
918,18-29,Female,Yes,6
919,45-60,Female,Yes,6
920,30-44,Female,Yes,6
924,30-44,Female,No,1
925,> 60,Male,No,1
928,> 60,Female,Yes,6
935,> 60,Male,Yes,6
937,30-44,Female,No,6
938,18-29,Male,No,6
941,18-29,Male,No,6
944,30-44,Male,Yes,6
946,30-44,Male,Yes,6
948,> 60,Male,No,1
949,45-60,Female,No,6
950,> 60,Female,No,1
953,30-44,Male,Yes,6
956,30-44,Male,Yes,6
961,> 60,Female,Yes,2
962,18-29,Male,Yes,6
964,30-44,Female,No,4
965,45-60,Male,Yes,6
966,18-29,Female,Yes,6
968,45-60,Female,Yes,4
970,45-60,Female,Yes,3
971,18-29,Female,No,5
972,18-29,Female,Yes,6
973,30-44,Female,Yes,6
974,18-29,Female,No,2
975,18-29,Female,No,4
976,45-60,Female,Yes,6
977,45-60,Female,Yes,6
978,45-60,Male,Yes,6
979,30-44,Male,Yes,6
980,45-60,Female,No,1
983,> 60,Female,Yes,1
984,18-29,Female,No,6
989,18-29,Female,Yes,5
990,30-44,Female,Yes,5
994,30-44,Female,Yes,6
995,18-29,Female,No,1
997,18-29,Female,No,3
1000,18-29,Female,Yes,6
1001,18-29,Female,Yes,6
1003,18-29,Female,Yes,6
1005,30-44,Male,Yes,6
1010,45-60,Female,Yes,6
1011,> 60,Female,No,3
1012,18-29,Female,Yes,6
1014,> 60,Male,Yes,3
1016,18-29,Female,Yes,6
1019,30-44,Female,Yes,6
1020,45-60,Male,No,6
1021,18-29,Female,Yes,6
1022,30-44,Male,Yes,6
1026,30-44,Female,Yes,6
1028,> 60,Male,No,4
1030,45-60,Female,No,6
1036,30-44,Female,Yes,6
1037,45-60,Female,No,2
1039,18-29,Male,No,5
1040,45-60,Female,No,5
1042,18-29,Female,No,5
1044,18-29,Female,No,6
1047,> 60,Female,Yes,6
1048,45-60,Male,Yes,6
1050,> 60,Male,Yes,6
1051,> 60,Female,Yes,6
1056,45-60,Female,No,3
1057,18-29,Female,Yes,6
1058,30-44,Male,Yes,6
1059,> 60,Male,No,0
1067,45-60,Female,Yes,6
1068,45-60,Female,Yes,6
1069,30-44,Male,Yes,6
1070,30-44,Female,No,2
1071,30-44,Male,No,6
1072,18-29,Female,No,4
1073,> 60,Male,Yes,6
1076,45-60,Male,No,2
1078,45-60,Female,No,1
1079,> 60,Male,No,3
1081,30-44,Male,Yes,6
1083,> 60,Female,Yes,5
1086,> 60,Male,Yes,2
1087,> 60,Female,No,2
1088,45-60,Female,No,2
1090,18-29,Male,Yes,6
1091,45-60,Female,Yes,4
1092,30-44,Female,No,2
1096,> 60,Male,Yes,6
1097,18-29,Male,Yes,6
1098,45-60,Female,Yes,4
1099,18-29,Female,Yes,6
1100,30-44,Male,Yes,4
1101,> 60,Female,No,1
1102,> 60,Female,No,2
1103,45-60,Female,Yes,4
1104,18-29,Female,No,1
1110,45-60,Female,No,1
1112,45-60,Male,Yes,5
1113,18-29,Female,Yes,6
1114,18-29,Male,Yes,6
1117,45-60,Male,No,1
1118,18-29,Female,No,3
1119,18-29,Female,Yes,6
1123,45-60,Male,Yes,6
1126,18-29,Female,No,3
1127,45-60,Male,Yes,6
1128,18-29,Female,Yes,6
1129,30-44,Male,Yes,6
1130,18-29,Female,No,1
1133,45-60,Male,No,2
1134,30-44,Female,Yes,6
1138,> 60,Male,No,4
1144,> 60,Male,No,1
1145,45-60,Male,No,3
1146,> 60,Male,Yes,5
1147,45-60,Female,No,6
1149,30-44,Female,Yes,6
1152,18-29,Female,Yes,6
1154,> 60,Female,Yes,6
1155,45-60,Female,Yes,3
1156,30-44,Female,No,6
1158,45-60,Female,No,2
1160,18-29,Female,No,3
1162,18-29,Female,Yes,4
1164,45-60,Male,No,5
1165,30-44,Female,Yes,6
1166,18-29,Female,Yes,6
1169,45-60,Male,Yes,4
1171,> 60,Female,Yes,6
1175,45-60,Female,Yes,6
1176,45-60,Female,No,2
1177,> 60,Male,No,5
1179,45-60,Female,Yes,2
1180,45-60,Female,Yes,6
1181,18-29,Female,Yes,6
1182,30-44,Female,Yes,6
1184,45-60,Female,Yes,6
1185,> 60,Female,No,4
